Name,Website,Type,State,Address,Latitude,Longitude,Land Ownership,Permits Required,Permit Details,Seasonal Closure Notes,Dog Friendly,Open All Year,Clothing Optional,Overnight Stay,Accessibility
Tassajara Zen Mountain Center,https://www.sfzc.org/tassajara,Commercial,CA,"39171 Tassajara Rd, Carmel Valley, CA 93924",36.2333,-121.5333,Private (non-profit),Yes,Guest season Apr-Sept; reservations required,Seasonal - typically April to September; closed Oct-Mar for practice period,No,No (seasonal),Yes (during guest season),Yes (rooms available during guest season),Very limited - long dirt road
Esalen Institute,https://www.esalen.org/,Commercial,CA,"55000 Highway 1, Big Sur, CA 93920",36.2333,-121.7333,Private (non-profit),Yes,Reservations required; workshops or overnight guests only; limited night bathing slots,Year-round,No,Yes,Yes (bathing area only),Yes (rooms for workshop participants),Limited
Gaviota Hot Springs,,Natural,CA,"Near Gaviota State Park, Santa Barbara County",34.4833,-120.2167,State Park,No,Currently closed - damaged by storm,Closed indefinitely,Unknown,No,Unknown,Unknown,Limited - hike required
Montecito Hot Springs,,Natural,CA,Los Padres National Forest near Santa Barbara,34.4667,-119.65,USFS (Los Padres NF),No,,Year-round - trail conditions vary,Yes (leashed),Yes,Yes,No,Very limited - moderate hike
Big Caliente Hot Springs,,Natural,CA,Los Padres National Forest,34.5,-119.6333,USFS (Los Padres NF),No,,Year-round,Yes (leashed),Yes,Yes,Yes (backcountry camping),Very limited - 6+ mile hike
Little Caliente Hot Springs,,Natural,CA,Los Padres National Forest,34.5167,-119.6167,USFS (Los Padres NF),No,,Year-round,Yes (leashed),Yes,Yes,No,Limited - 1.5 mile hike
Sespe Hot Springs,,Natural,CA,"Sespe Wilderness, Los Padres NF",34.5833,-118.9167,USFS (Los Padres NF),Yes,Wilderness permit required,Year-round - very remote,Yes (leashed),Yes,Yes,Yes (backcountry camping),Very limited - 17 mile hike
Deep Creek Hot Springs,,Natural,CA,Near Hesperia in San Bernardino National Forest,34.3333,-117.25,USFS (San Bernardino NF),No,,Year-round,Yes (leashed),Yes,Yes,No (day use only),Limited - 2-4 mile hike depending on route
Sycamore Mineral Springs Resort,https://www.sycamoresprings.com/,Commercial,CA,"1215 Avila Beach Dr, San Luis Obispo, CA 93405",35.1833,-120.7167,Private,No,,Year-round,No,Yes,No,Yes (rooms/suites),Moderate
Beverly Hot Springs,https://beverlyhotsprings.com/,Commercial,CA,"308 N Oxford Ave, Los Angeles, CA 90004",34.0758,-118.3092,Private,No,,Year-round,No,Yes,No (gender-separated areas),No (day spa),Moderate
Bashford's Hot Mineral Spa,https://bashfords.com/,Commercial,CA,"10590 Hot Mineral Spa Rd, Desert Hot Springs, CA 92240",33.95,-116.5333,Private,No,,Year-round,Unknown,Yes,No,Yes,Moderate
Azure Palm Hot Springs Resort,https://azurepalmhotsprings.com/,Commercial,CA,"12885 Eliseo Rd, Desert Hot Springs, CA 92240",33.9667,-116.5167,Private,No,,Year-round,Unknown,Yes,No,Yes,Moderate
Caliente Springs Resort,,Commercial,CA,"70200 Dillon Rd, Desert Hot Springs, CA 92241",33.9833,-116.4833,Private,No,55+ community,Year-round,Unknown,Yes,No,Yes (55+ resort),Moderate
Two Bunch Palms Resort,https://www.twobunchpalms.com/,Commercial,CA,"67425 Two Bunch Palms Trail, Desert Hot Springs, CA 92240",33.9333,-116.5167,Private,No,,Year-round,No,Yes,No,Yes,Moderate
Sky Valley Hot Springs,,Commercial,CA,"Desert Hot Springs area, CA",33.9167,-116.5333,Private,No,,Year-round,Unknown,Yes,No,Yes,Moderate
Surprise Valley Hot Springs,https://surprisevalleyhotsprings.com/,Commercial,CA,"Near Cedarville, CA",41.5333,-120.1167,Private,No,,Year-round - remote location,Unknown,Yes,No,Yes (cabins),Limited - very remote
Leonard's Hot Springs,,Commercial,CA,Near Susanville,40.4167,-120.65,Private,No,Currently closed,Closed,Unknown,No,Unknown,Unknown,Unknown
Grover Hot Springs State Park,https://www.parks.ca.gov/,Natural,CA,"3415 Hot Springs Rd, Markleeville, CA 96120",38.6833,-119.85,State Park,Yes,Day use fees; reservations recommended,Year-round; occasionally closed for maintenance,No,Yes,No,Yes (camping in park),Moderate - ADA accessible
Fales Hot Ditch,,Natural,CA,Near Bridgeport,38.2667,-119.3,USFS,No,,Best late summer when river is low,Yes (leashed),No (seasonal - water levels),Yes,No,Very limited - river access
Marin Tidal Hot Springs,,Natural,CA,Steep Ravine Beach near Stinson Beach,37.9,-122.6167,State Park,No,Only accessible at very low tides (-1 foot or lower); check tide tables,Seasonal - tide dependent,Yes (leashed),No (tide dependent),Yes,No,Very limited - tide dependent ocean access
Dirty Socks Hot Spring,,Natural,CA,Near Olancha in Owens Valley,36.2833,-117.9833,BLM,No,,Year-round,Yes (leashed),Yes,Yes,No,Limited - remote desert location
Lava Hot Springs World Famous Hot Pools,https://lavahotsprings.com/,Commercial,ID,"430 E Main St, Lava Hot Springs, ID 83246",42.6195,-112.0064,State of Idaho,No,$8-10 day use (weekday/weekend rates),Open year-round,No,Yes,No,Yes (lodging nearby),Yes
Lava Hot Springs Olympic Swimming Complex,https://lavahotsprings.com/,Commercial,ID,"195 N Center St, Lava Hot Springs, ID 83246",42.6211,-112.0099,State of Idaho,No,Separate admission from hot pools,Outdoor pools seasonal (summer); indoor pool year-round,No,No (outdoor seasonal),No,Yes (lodging nearby),Yes
Burgdorf Hot Springs,https://www.burgdorfhotsprings.com/,Commercial,ID,"404 French Creek (USFS #246), McCall, ID 83638",45.2769,-115.9133,Private (on USFS land),Yes,Reservations required; cabin guests and day soak guests,Winter access by snowmobile only (Dec-Apr); summer car access (June-Oct); closed Nov & May,Yes (leashed - not in pools),No (seasonal closures),Yes,Yes (rustic cabins),Limited - remote location
Gold Fork Hot Springs,http://www.goldforkhotsprings.com/,Commercial,ID,"1026 Gold Fork Rd, Donnelly, ID 83615",44.9733,-115.8833,Private,No,"$12 adults, $8 children 3-11; cash or check only",Open year-round,Yes (leashed - not in pools),Yes,No,No (day use only),Moderate
Zim's Hot Springs,https://zimshotsprings.com/,Commercial,ID,"2995 Zims Rd, New Meadows, ID 83654",45.0833,-116.3333,Tribal (Nez Perce),No,"$10 adults, $8 seniors, $6 kids 3-17",Closed Monday & Tuesday,Yes (leashed - campground only; not in pools),Yes,No,Yes (RV/tent camping - dry camping only),Moderate
Miracle Hot Springs,https://www.miraclehotsprings.com/,Commercial,ID,"19073A US-30, Buhl, ID 83316",42.6652,-114.8499,Private,Yes,$10-15 adults; private tubs $20-25 extra; reservations required,Closed Sundays,No,Yes (Mon-Sat),Yes (private rooms only),Yes (RV/tent/geodomes/cabins),Moderate
Downata Hot Springs,https://downatahotsprings.com/,Commercial,ID,"27498 Downata Rd, Downey, ID 83234",42.4167,-112.1167,Private,No,,"Pool and waterslides - seasonal for slides, year-round hot pools",Yes (allowed on property - not in pools),No (seasonal operations),No,Yes (RV/yurts/tepees/cabins/covered wagons),Moderate
Indian Springs Resort,https://indianspringsnatatorium.com/,Commercial,ID,"3249 Indian Springs Rd, Idaho Falls, ID 83401",43.5167,-112.0167,Private,No,,Open year-round,Unknown,Yes,No,Yes (camping/lodging),Moderate
Bear Lake Hot Springs,,Commercial,ID,"Bear Lake area, ID",42.1667,-111.3333,Private,No,,Seasonal operations,Unknown,No,No,Yes,Limited
Bear River Hot Springs,,Commercial,ID,"Near Soda Springs, ID",42.6667,-111.6,Private,No,,Seasonal operations,Unknown,No,No,Yes,Limited
Maple Grove Hot Springs,https://www.maplegrovelodge.com/,Commercial,ID,"4676 E 3900 N, Ashton, ID 83420",44.0667,-111.4333,Private,Yes,Reservations recommended,Open year-round,Unknown,Yes,Yes,Yes (yurts/tent sites/camping),Limited - off-grid community
Lava Hotel & Spa,,Commercial,ID,"59 E Main St, Lava Hot Springs, ID 83246",42.6194,-112.0069,Private,No,,Open year-round,No,Yes,No,Yes,Moderate
Idaho Rocky Mountain Ranch,,Commercial,ID,"HC 64 Box 9934, Stanley, ID 83278",44.1833,-114.9333,Private,Yes,Lodge guests only; seasonal,Summer & Fall only,Unknown,No,No,Yes (cabins/lodge),Limited
Kirkham Hot Springs,,Natural,ID,Payette National Forest near Lowman,44.1167,-115.5833,USFS (Boise NF),No,Northwest Forest Pass or day use fee,Best spring through fall; accessible year-round but winter requires preparation,Yes (leashed),Yes,Yes,No (camping nearby),Limited - short walk from parking
Bonneville Hot Springs,,Natural,ID,Near Grandjean on South Fork Payette River,44.15,-115.2833,USFS (Boise NF),No,,Best summer through fall,Yes (leashed),Yes (weather permitting),Yes,Yes (camping at nearby campgrounds),Very limited - remote
Sacajawea Hot Springs,,Natural,ID,Near Grandjean,44.2333,-115.05,USFS (Boise NF),No,,Best summer through fall,Yes (leashed),Yes (weather permitting),Yes,Yes (camping at nearby campgrounds),Very limited - remote
Pine Flats Hot Springs,,Natural,ID,Near Lowman on South Fork Payette River,44.0833,-115.6167,USFS (Boise NF),No,,Best spring through fall; can be cold in winter,Yes (leashed),Yes,Yes,Yes (camping nearby),Limited - short walk from parking
Skinnydipper Hot Springs,,Natural,ID,Payette National Forest near Grandjean,44.1833,-115.1333,USFS (Boise NF),No,,Best summer through fall,Yes (leashed),Yes (weather permitting),Yes,Yes (backcountry camping),Very limited - 1+ mile hike
Goldbug (Elk Bend) Hot Springs,,Natural,ID,Near Salmon,45.35,-113.9833,BLM,No,,Best spring through fall; winter access difficult,Yes (leashed),Yes (weather permitting),Yes,No (day use only),Very limited - 2 mile steep hike
Jerry Johnson Hot Springs,,Natural,ID,Nez Perce-Clearwater National Forest near Lowell,46.4833,-115.0333,USFS (Nez Perce-Clearwater NF),No,Northwest Forest Pass required,Winter access requires snowshoes/skis,Yes (leashed),Yes (limited winter access),Yes,Yes (camping at nearby campground),Limited - 1 mile hike
Weir Creek Hot Springs,,Natural,ID,Nez Perce-Clearwater National Forest,46.4167,-115.0833,USFS (Nez Perce-Clearwater NF),No,,Best summer through fall,Yes (leashed),No (difficult winter access),Yes,Yes (backcountry camping),Very limited - remote hike
Stanley Hot Springs,,Natural,ID,Near Stanley,44.2167,-114.95,USFS (Salmon-Challis NF),No,,Best summer through fall,Yes (leashed),No (winter access very difficult),Yes,Yes (backcountry camping),Very limited - 8+ mile hike
Boat Box Hot Springs,,Natural,ID,Near Stanley on Salmon River,44.2,-114.9333,USFS (Salmon-Challis NF),No,,Best summer through fall,Yes (leashed),Yes (river permitting),Yes,Yes (camping nearby),Limited - river access
Sunbeam Hot Springs,,Natural,ID,Near Stanley on Salmon River,44.2167,-114.7333,USFS (Salmon-Challis NF),No,,Best summer through fall,Yes (leashed),Yes,Yes,Yes (camping nearby),Limited - roadside
Mormon Bend Hot Springs,,Natural,ID,Near Stanley on Salmon River,44.1833,-114.8833,USFS (Salmon-Challis NF),No,,Best summer through fall,Yes (leashed),Yes,Yes,Yes (camping nearby),Limited - short walk
Slate Creek (Hoff Lake) Hot Springs,,Natural,ID,Near Slate Creek,45.4,-116.1667,USFS (Nez Perce-Clearwater NF),No,,Best summer through fall,Yes (leashed),No (winter access very difficult),Yes,Yes (backcountry camping),Very limited - remote backcountry
Council Mountain (Laurel) Hot Springs,,Natural,ID,Near Council on Warm Springs Creek,44.7333,-116.45,USFS (Payette NF),No,,Best late spring; water levels vary,Yes (leashed),Yes (but best spring),Yes,Yes (camping nearby),Limited - 2 mile hike
Frenchman's Bend Hot Springs,,Natural,ID,Big Wood River near Ketchum,43.65,-114.4,Public,No,,Best late summer when river is low,Yes (leashed),No (seasonal - water levels),Yes,No,Limited - river access
Russian John Hot Springs,,Natural,ID,Near Ketchum,43.6167,-114.5,USFS (Sawtooth NF),No,,Best summer through fall,Yes (leashed),No (winter access difficult),Yes,No (day use only),Limited - short walk
Easley Hot Springs,,Commercial,ID,Near Ketchum,43.6833,-114.4167,Private,No,Day use fee; summer only (June-Labor Day),Seasonal - summer only,Unknown,No,No,Yes (camping available),Moderate
Silver Creek Plunge,,Commercial,ID,Near Ketchum,43.4833,-114.2,Private,No,,Seasonal operations,Unknown,No,No,Yes,Moderate
Baumgartner Hot Springs,,Natural,ID,Sawtooth National Forest,43.9167,-115.1333,USFS (Sawtooth NF),No,,Best summer through fall,Yes (leashed),Yes (weather permitting),Yes,Yes (camping nearby),Limited - remote
Willow Creek Hot Springs,,Natural,ID,Near Whitehorse Ranch,42.15,-118.1667,BLM/Private,No,,Year-round - very remote,Unknown,Yes,Yes,No (day use only),Very limited - very remote
Three Creek Hot Springs,,Natural,ID,Near Ketchum,43.7167,-114.2667,Private,No,,Seasonal - best summer,Yes (leashed),No,Yes,No,Limited - remote
West Magic Hot Springs,,Natural,ID,Near Twin Falls,42.3833,-114.7833,BLM,No,,Year-round,Yes (leashed),Yes,Yes,No,Limited - remote desert location
Banbury Hot Springs,,Commercial,ID,Near Buhl on Snake River,42.6833,-114.8167,Private,No,Currently closed indefinitely for remodeling,Closed,Unknown,No,Unknown,Unknown,Unknown
White Licks Hot Springs,,Natural,ID,Salmon River area,45.1167,-114.35,USFS (Salmon-Challis NF),No,,Best summer through fall,Yes (leashed),Yes (weather permitting),Yes,Yes (backcountry camping),Very limited - remote
Barth Hot Springs,,Natural,ID,Near Warm Lake,44.6167,-115.6667,USFS (Boise NF),No,,Best summer through fall,Yes (leashed),Yes (weather permitting),Yes,Yes (camping nearby),Limited - hike required
Trail Creek Hot Springs,,Natural,ID,Near Sun Valley,43.7,-114.3333,USFS (Sawtooth NF),No,,Best summer,Yes (leashed),No (winter difficult),Yes,No,Limited - remote
Loftus Hot Springs,,Natural,ID,Middle Fork Boise River near Atlanta,43.7833,-115.15,USFS (Boise NF),No,,Best summer through fall; 30 miles from Atlanta,Yes (leashed),Yes (weather/road permitting),Yes,Yes (primitive camping),Limited - long drive required
Atlanta Hot Springs,,Natural,ID,Near Atlanta,43.8,-115.15,Private/USFS,Unknown,,Seasonal,Unknown,Yes (weather permitting),Yes,Yes (camping nearby),Limited - remote
